three_letter_country_code,country_name,country_label
AFG,"Afghanistan, Islamic Republic of",Afghanistan
ALB,"Albania, Republic of",Albania
ATA,Antarctica (the territory South of 60 deg S),Antarctica
DZA,"Algeria, People's Democratic Republic of",Algeria
ASM,American Samoa,American Samoa
AND,"Andorra, Principality of",Andorra
AGO,"Angola, Republic of",Angola
ATG,Antigua and Barbuda,Antigua and Barbuda
AZE,"Azerbaijan, Republic of",Azerbaijan
ARG,"Argentina, Argentine Republic",Argentina
AUS,"Australia, Commonwealth of",Australia
AUT,"Austria, Republic of",Austria
BHS,"Bahamas, Commonwealth of the",Bahamas
BHR,"Bahrain, Kingdom of",Bahrain
BGD,"Bangladesh, People's Republic of",Bangladesh
ARM,"Armenia, Republic of",Armenia
BRB,Barbados,Barbados
BEL,"Belgium, Kingdom of",Belgium
BMU,Bermuda,Bermuda
BTN,"Bhutan, Kingdom of",Bhutan
BOL,"Bolivia, Republic of",Bolivia
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina
BWA,"Botswana, Republic of",Botswana
BVT,Bouvet Island (Bouvetoya),Bouvet Island
BRA,"Brazil, Federative Republic of",Brazil
BLZ,Belize,Belize
IOT,British Indian Ocean Territory (Chagos Archipelago),British Indian Ocean Territory
SLB,Solomon Islands,Solomon Islands
VGB,British Virgin Islands,British Virgin Islands
BRN,Brunei Darussalam,Brunei Darussalam
BGR,"Bulgaria, Republic of",Bulgaria
MMR,"Myanmar, Union of",Myanmar
BDI,"Burundi, Republic of",Burundi
BLR,"Belarus, Republic of",Belarus
KHM,"Cambodia, Kingdom of",Cambodia
CMR,"Cameroon, Republic of",Cameroon
CAN,Canada,Canada
CPV,"Cape Verde, Republic of",Cape Verde
CYM,Cayman Islands,Cayman Islands
CAF,Central African Republic,Central African Republic
LKA,"Sri Lanka, Democratic Socialist Republic of",Sri Lanka
TCD,"Chad, Republic of",Chad
CHL,"Chile, Republic of",Chile
CHN,"China, People's Republic of",China
TWN,Taiwan,Taiwan
CXR,Christmas Island,Christmas Island
CCK,Cocos (Keeling) Islands,Cocos
COL,"Colombia, Republic of",Colombia
COM,"Comoros, Union of the",Comoros
MYT,Mayotte,Mayotte
COG,"Congo, Republic of the",Congo
COD,"Congo, Democratic Republic of the",Congo
COK,Cook Islands,Cook Islands
CRI,"Costa Rica, Republic of",Costa Rica
HRV,"Croatia, Republic of",Croatia
CUB,"Cuba, Republic of",Cuba
CYP,"Cyprus, Republic of",Cyprus
CZE,Czech Republic,Czech Republic
BEN,"Benin, Republic of",Benin
DNK,"Denmark, Kingdom of",Denmark
DMA,"Dominica, Commonwealth of",Dominica
DOM,Dominican Republic,Dominican Republic
ECU,"Ecuador, Republic of",Ecuador
SLV,"El Salvador, Republic of",El Salvador
GNQ,"Equatorial Guinea, Republic of",Equatorial Guinea
ETH,"Ethiopia, Federal Democratic Republic of",Ethiopia
ERI,"Eritrea, State of",Eritrea
EST,"Estonia, Republic of",Estonia
FRO,Faroe Islands,Faroe Islands
FLK,Falkland Islands (Malvinas),Falkland Islands
SGS,South Georgia and the South Sandwich Islands,South Georgia and the South Sandwich Islands
FJI,"Fiji, Republic of the Fiji Islands",Fiji
FIN,"Finland, Republic of",Finland
ALA,Aland Islands,Aland Islands
FRA,"France, French Republic",France
GUF,French Guiana,French Guiana
PYF,French Polynesia,French Polynesia
ATF,French Southern Territories,French Southern Territories
DJI,"Djibouti, Republic of",Djibouti
GAB,"Gabon, Gabonese Republic",Gabon
GEO,Georgia,Georgia
GMB,"Gambia, Republic of the",Gambia
PSE,"Palestinian Territory, Occupied",Palestinian Territory
DEU,"Germany, Federal Republic of",Germany
GHA,"Ghana, Republic of",Ghana
GIB,Gibraltar,Gibraltar
KIR,"Kiribati, Republic of",Kiribati
GRC,"Greece, Hellenic Republic",Greece
GRL,Greenland,Greenland
GRD,Grenada,Grenada
GLP,Guadeloupe,Guadeloupe
GUM,Guam,Guam
GTM,"Guatemala, Republic of",Guatemala
GIN,"Guinea, Republic of",Guinea
GUY,"Guyana, Co-operative Republic of",Guyana
HTI,"Haiti, Republic of",Haiti
HMD,Heard Island and McDonald Islands,Heard Island and McDonald Islands
VAT,Holy See (Vatican City State),Holy See
HND,"Honduras, Republic of",Honduras
HKG,"Hong Kong, Special Administrative Region of China",Hong Kong
HUN,"Hungary, Republic of",Hungary
ISL,"Iceland, Republic of",Iceland
IND,"India, Republic of",India
IDN,"Indonesia, Republic of",Indonesia
IRN,"Iran, Islamic Republic of",Iran
IRQ,"Iraq, Republic of",Iraq
IRL,Ireland,Ireland
ISR,"Israel, State of",Israel
ITA,"Italy, Italian Republic",Italy
CIV,"Cote d'Ivoire, Republic of",Cote d'Ivoire
JAM,Jamaica,Jamaica
JPN,Japan,Japan
KAZ,"Kazakhstan, Republic of",Kazakhstan
JOR,"Jordan, Hashemite Kingdom of",Jordan
KEN,"Kenya, Republic of",Kenya
PRK,"Korea, Democratic People's Republic of",Korea
KOR,"Korea, Republic of",Korea
KWT,"Kuwait, State of",Kuwait
KGZ,Kyrgyz Republic,Kyrgyz Republic
LAO,Lao People's Democratic Republic,Laos
LBN,"Lebanon, Lebanese Republic",Lebanon
LSO,"Lesotho, Kingdom of",Lesotho
LVA,"Latvia, Republic of",Latvia
LBR,"Liberia, Republic of",Liberia
LBY,Libyan Arab Jamahiriya,Libyan Arab Jamahiriya
LIE,"Liechtenstein, Principality of",Liechtenstein
LTU,"Lithuania, Republic of",Lithuania
LUX,"Luxembourg, Grand Duchy of",Luxembourg
MAC,"Macao, Special Administrative Region of China",Macao
MDG,"Madagascar, Republic of",Madagascar
MWI,"Malawi, Republic of",Malawi
MYS,Malaysia,Malaysia
MDV,"Maldives, Republic of",Maldives
MLI,"Mali, Republic of",Mali
MLT,"Malta, Republic of",Malta
MTQ,Martinique,Martinique
MRT,"Mauritania, Islamic Republic of",Mauritania
MUS,"Mauritius, Republic of",Mauritius
MEX,"Mexico, United Mexican States",Mexico
MCO,"Monaco, Principality of",Monaco
MNG,Mongolia,Mongolia
MDA,"Moldova, Republic of",Moldova
MNE,"Montenegro, Republic of",Montenegro
MSR,Montserrat,Montserrat
MAR,"Morocco, Kingdom of",Morocco
MOZ,"Mozambique, Republic of",Mozambique
OMN,"Oman, Sultanate of",Oman
NAM,"Namibia, Republic of",Namibia
NRU,"Nauru, Republic of",Nauru
NPL,"Nepal, State of",Nepal
NLD,"Netherlands, Kingdom of the",Netherlands
ANT,Netherlands Antilles,Netherlands Antilles
CUW,Curasao,Curasao
ABW,Aruba,Aruba
SXM,Sint Maarten (Netherlands),Sint Maarten
BES,"Bonaire, Sint Eustatius and Saba",Bonaire
NCL,New Caledonia,New Caledonia
VUT,"Vanuatu, Republic of",Vanuatu
NZL,New Zealand,New Zealand
NIC,"Nicaragua, Republic of",Nicaragua
NER,"Niger, Republic of",Niger
NGA,"Nigeria, Federal Republic of",Nigeria
NIU,Niue,Niue
NFK,Norfolk Island,Norfolk Island
NOR,"Norway, Kingdom of",Norway
MNP,"Northern Mariana Islands, Commonwealth of the",Northern Mariana Islands
UMI,United States Minor Outlying Islands,United States Minor Outlying Islands
FSM,"Micronesia, Federated States of",Micronesia
MHL,"Marshall Islands, Republic of the",Marshall Islands
PLW,"Palau, Republic of",Palau
PAK,"Pakistan, Islamic Republic of",Pakistan
PAN,"Panama, Republic of",Panama
PNG,"Papua New Guinea, Independent State of",Papua New Guinea
PRY,"Paraguay, Republic of",Paraguay
PER,"Peru, Republic of",Peru
PHL,"Philippines, Republic of the",Philippines
PCN,Pitcairn Islands,Pitcairn Islands
POL,"Poland, Republic of",Poland
PRT,"Portugal, Portuguese Republic",Portugal
GNB,"Guinea-Bissau, Republic of",Guinea-Bissau
TLS,"Timor-Leste, Democratic Republic of",Timor-Leste
PRI,"Puerto Rico, Commonwealth of",Puerto Rico
QAT,"Qatar, State of",Qatar
REU,Reunion,Reunion
ROU,Romania,Romania
RUS,Russian Federation,Russian Federation
RWA,"Rwanda, Republic of",Rwanda
BLM,Saint Barthelemy,Saint Barthelemy
SHN,Saint Helena,Saint Helena
KNA,"Saint Kitts and Nevis, Federation of",Saint Kitts and Nevis
AIA,Anguilla,Anguilla
LCA,Saint Lucia,Saint Lucia
MAF,Saint Martin,Saint Martin
SPM,Saint Pierre and Miquelon,Saint Pierre and Miquelon
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
SMR,"San Marino, Republic of",San Marino
STP,"Sao Tome and Principe, Democratic Republic of",Sao Tome and Principe
SAU,"Saudi Arabia, Kingdom of",Saudi Arabia
SEN,"Senegal, Republic of",Senegal
SRB,"Serbia, Republic of",Serbia
SYC,"Seychelles, Republic of",Seychelles
SLE,"Sierra Leone, Republic of",Sierra Leone
SGP,"Singapore, Republic of",Singapore
SVK,Slovakia (Slovak Republic),Slovakia
VNM,"Vietnam, Socialist Republic of",Vietnam
SVN,"Slovenia, Republic of",Slovenia
SOM,"Somalia, Somali Republic",Somalia
ZAF,"South Africa, Republic of",South Africa
ZWE,"Zimbabwe, Republic of",Zimbabwe
ESP,"Spain, Kingdom of",Spain
SSD,South Sudan,South Sudan
ESH,Western Sahara,Western Sahara
SDN,"Sudan, Republic of",Sudan
SUR,"Suriname, Republic of",Suriname
SJM,Svalbard & Jan Mayen Islands,Svalbard & Jan Mayen Islands
SWZ,"Swaziland, Kingdom of",Swaziland
SWE,"Sweden, Kingdom of",Sweden
CHE,"Switzerland, Swiss Confederation",Switzerland
SYR,Syrian Arab Republic,Syrian Arab Republic
TJK,"Tajikistan, Republic of",Tajikistan
THA,"Thailand, Kingdom of",Thailand
TGO,"Togo, Togolese Republic",Togo
TKL,Tokelau,Tokelau
TON,"Tonga, Kingdom of",Tonga
TTO,"Trinidad and Tobago, Republic of",Trinidad and Tobago
ARE,United Arab Emirates,United Arab Emirates
TUN,"Tunisia, Tunisian Republic",Tunisia
TUR,"Turkey, Republic of",Turkey
TKM,Turkmenistan,Turkmenistan
TCA,Turks and Caicos Islands,Turks and Caicos Islands
TUV,Tuvalu,Tuvalu
UGA,"Uganda, Republic of",Uganda
UKR,Ukraine,Ukraine
MKD,"Macedonia, The Former Yugoslav Republic of",Macedonia
EGY,"Egypt, Arab Republic of",Egypt
GBR,United Kingdom of Great Britain & Northern Ireland,United Kingdom
GGY,"Guernsey, Bailiwick of",Guernsey
JEY,"Jersey, Bailiwick of",Jersey
IMN,Isle of Man,Isle of Man
TZA,"Tanzania, United Republic of",Tanzania
USA,United States of America,United States
VIR,United States Virgin Islands,United States Virgin Islands
BFA,Burkina Faso,Burkina Faso
URY,"Uruguay, Eastern Republic of",Uruguay
UZB,"Uzbekistan, Republic of",Uzbekistan
VEN,"Venezuela, Bolivarian Republic of",Venezuela
WLF,Wallis and Futuna,Wallis and Futuna
WSM,"Samoa, Independent State of",Samoa
YEM,Yemen,Yemen
ZMB,"Zambia, Republic of",Zambia
,Disputed Territory,Disputed Territory
,Iraq-Saudi Arabia Neutral Zone,Iraq-Saudi Arabia Neutral Zone
,United Nations Neutral Zone,United Nations Neutral Zone
,Spratly Islands,Spratly Islands
